실제값,예측값
17.2,15.920000000000002
8.4,8.932999999999995
26.3,25.811999999999994
4.9,5.313
9.9,10.645
-7.7,-7.754999999999998
20.2,19.573
7.7,7.9099999999999975
7.2,7.513999999999995
2.6,3.0599999999999996
15.8,19.64100000000001
19.5,18.732000000000003
5.8,5.546999999999998
24.7,24.035999999999998
1.0,0.27599999999999997
5.1,4.572
29.8,30.76000000000001
4.0,4.168
6.6,6.6730000000000045
15.2,15.47299999999999
-4.9,-3.674000000000001
16.8,15.901000000000002
16.5,15.731000000000003
2.1,1.8829999999999996
-5.6,-5.615999999999999
22.5,22.048
11.8,12.305000000000001
-1.4,-4.8969999999999985
18.6,17.995999999999995
15.2,14.937999999999995
12.3,12.023000000000007
7.5,7.310000000000006
3.3,2.5359999999999987
14.9,14.916999999999998
15.6,16.764
22.1,21.808999999999997
8.3,8.474999999999998
11.8,12.208999999999996
-3.6,-1.825
30.8,32.52600000000001
24.8,24.817999999999987
22.2,21.506999999999984
0.1,3.437
26.5,26.444999999999983
0.2,0.8799999999999997
1.0,1.204
18.5,19.52800000000001
20.9,21.173000000000012
9.9,11.000000000000002
12.5,12.54
18.6,18.554
12.8,13.933999999999996
33.4,31.466999999999988
10.6,10.726999999999997
19.1,19.433999999999997
-2.8,-1.9069999999999998
18.6,18.125999999999998
23.5,21.796
6.7,6.0329999999999995
5.5,5.052999999999998
25.6,27.290000000000006
9.6,10.240000000000004
6.7,7.0409999999999995
6.4,6.3839999999999995
8.9,9.246000000000002
19.1,18.369
18.8,20.680999999999997
20.0,19.644
15.5,16.84800000000001
-1.7,-1.717
21.1,22.156
-3.0,-3.1210000000000004
18.2,17.855999999999995
23.4,23.101999999999993
26.1,25.569000000000006
4.7,4.751999999999999
19.2,20.519000000000005
7.4,6.581999999999999
2.3,2.380999999999999
17.5,15.921999999999992
7.9,8.849999999999998
0.9,1.35
4.4,4.3839999999999995
1.6,1.1150000000000002
12.5,13.051999999999998
15.1,14.503999999999996
16.9,16.447999999999997
5.6,4.776
10.4,9.69
19.3,19.414999999999996
6.9,7.474999999999997
-6.1,-6.389999999999998
2.4,2.5729999999999995
19.9,19.800000000000008
31.7,31.73600000000001
25.0,25.11800000000001
23.5,23.984
15.9,15.523000000000001
16.2,16.397
2.4,2.027
3.5,3.549
17.5,18.200000000000006
21.8,22.41199999999999
15.0,14.961999999999998
24.0,24.26
3.0,4.086999999999999
0.0,0.03499999999999998
12.7,13.161
16.6,17.200999999999993
7.5,7.3069999999999995
20.3,20.796999999999997
27.3,26.756999999999994
24.1,24.398000000000003
3.3,2.067000000000001
30.8,29.742000000000008
22.4,20.014999999999986
23.9,23.472
21.9,21.65299999999999
0.8,0.9640000000000001
13.2,12.629999999999997
10.9,10.838
-11.3,-10.903999999999998
25.2,25.157000000000007
15.1,16.525
7.0,6.922999999999999
6.5,6.03
24.8,24.260000000000005
23.7,23.896999999999988
14.6,15.424999999999994
3.4,3.869000000000002
1.0,0.9950000000000001
